DateTime,PlayersCount
2008-07-30,29037
2008-07-31,25511
2008-08-01,37883
2008-08-02,42912
2008-08-03,51488
2008-08-04,33859
2008-08-05,26381
2008-08-06,44256
2008-08-07,26853
2008-08-08,24393
2008-08-09,22111
2008-08-10,25875
2008-08-11,21940
2008-08-12,20839
2008-08-13,25405
2008-08-14,22198
2008-08-15,28117
2008-08-16,34842
2008-08-17,35261
2008-08-18,25899
2008-08-19,24394
2008-08-20,24218
2008-08-21,21309
2008-08-22,27819
2008-08-23,32828
2008-08-24,34291
2008-08-25,25603
2008-08-26,21129
2008-08-27,24528
2008-08-28,22487
2008-08-29,25824
2008-08-30,33881
2008-08-31,35046
2008-09-01,36711
2008-09-02,45084
2008-09-03,54837
2008-09-04,32999
2008-09-05,31816
2008-09-06,30915
2008-09-07,28367
2008-09-08,34003
2008-09-09,22445
2008-09-10,21141
2008-09-11,22583
2008-09-12,18384
2008-09-13,35836
2008-09-14,37725
2008-09-15,26828
2008-09-16,23360
2008-09-17,23464
2008-09-18,18956
2008-09-19,25424
2008-09-20,33049
2008-09-21,32007
2008-09-22,23696
2008-09-23,21920
2008-09-24,20839
2008-09-25,18611
2008-09-26,23301
2008-09-27,32248
2008-09-28,41724
2008-09-29,37633
2008-09-30,22788
2008-10-01,28779
2008-10-02,48261
2008-10-03,35067
2008-10-04,28259
2008-10-05,44100
2008-10-06,27849
2008-10-07,23136
2008-10-08,34681
2008-10-09,23733
2008-10-10,30960
2008-10-11,15459
2008-10-12,23139
2008-10-13,20435
2008-10-14,19390
2008-10-15,16857
2008-10-16,16386
2008-10-17,20838
2008-10-18,28528
2008-10-19,30510
2008-10-20,19623
2008-10-21,19134
2008-10-22,19359
2008-10-23,5443
2008-10-24,23243
2008-10-25,33114
2008-10-26,35473
2008-10-27,25200
2008-10-28,20378
2008-10-29,18090
2008-10-30,16257
2008-10-31,20846
2008-11-01,39220
2008-11-02,50873
2008-11-03,35509
2008-11-04,34280
2008-11-05,43273
2008-11-06,28116
2008-11-07,29953
2008-11-08,27122
2008-11-09,20835
2008-11-10,17098
2008-11-11,14760
2008-11-12,20498
2008-11-13,12414
2008-11-14,13326
2008-11-15,19909
2008-11-16,21568
2008-11-17,14658
2008-11-18,2499
2008-11-19,17378
2008-11-20,14826
2008-11-21,24471
2008-11-22,30590
2008-11-23,35229
2008-11-24,26102
2008-11-25,23958
2008-11-26,19667
2008-11-27,12918
2008-11-28,25331
2008-11-29,28942
2008-11-30,34247
2008-12-01,48679
2008-12-02,39227
2008-12-03,36423
2008-12-04,44914
2008-12-05,30478
2008-12-06,26119
2008-12-07,35192
2008-12-08,27406
2008-12-09,25081
2008-12-10,30515
2008-12-11,15526
2008-12-12,24192
2008-12-13,32137
2008-12-14,33334
2008-12-15,23704
2008-12-16,24288
2008-12-17,25230
2008-12-18,20476
2008-12-19,24969
2008-12-20,28843
2008-12-21,22380
2008-12-22,20441
2008-12-23,24013
2008-12-24,23666
2008-12-25,19873
2008-12-26,23823
2008-12-27,31828
2008-12-28,32913
2008-12-29,23888
2008-12-30,24692
2008-12-31,22427
2009-01-01,26123
2009-02-01,29935
2009-03-01,30490
2009-04-01,34261
2009-05-01,22815
2009-06-01,23005
2009-07-01,22520
2009-08-01,14709
2009-09-01,18628
2009-10-01,4935
